company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ABB,Abbott India Ltd,Industrials,75.58,4.48,12.63,0.05,60.48,60.3,Caution
BAJAJFINSV,Bajaj Finserv Ltd,Financials,15.07,6.08,39.72,-4.18,47.34,-55.1,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,69.2,4.11,15.96,-3.23,50.87,106.1,Caution
BANKBARODA,Bank of Baroda,Financials,16.89,4.15,24.7,-1.28,51.62,-49.7,Discount
BEL,Bharat Electronics Ltd,Industrials,17.89,9.22,23.14,-0.09,56.3,-62.1,Discount
BHEL,Bharat Heavy Electricals Limited,Industrials,29.8,11.43,21.59,-0.44,35.98,-36.8,Discount
BOSCHLTD,Bosch Ltd,Consumer Discretionary,58.43,6.47,16.07,0.06,34.56,53.7,Caution
BPCL,Bharat Petroleum Corporation Ltd,Energy,68.15,0.72,26.59,5.42,30.58,51.7,Caution
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Financials,16.79,10.36,13.52,-3.97,28.41,-50.0,Discount
COALINDIA,Coal India Ltd,Materials,34.27,14.75,25.15,3.0,33.22,-38.4,Discount
DMART,Avenue Supermarts Ltd,Consumer Discretionary,72.53,11.71,36.84,0.01,45.66,90.8,Caution
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,11.73,10.19,14.56,0.02,12.38,-75.1,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,15.62,13.61,19.29,0.4,21.86,-58.9,Discount
GAIL,GAIL (India) Ltd,Energy,25.84,9.54,33.07,0.28,28.26,-42.5,Discount
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,33.59,8.07,23.55,-0.1,37.19,-34.1,Discount
GRASIM,Grasim Industries Ltd,Industrials,79.35,5.68,15.23,-7.06,47.49,68.3,Caution
HAL,Hindustan Aeronautics Ltd,Industrials,71.89,3.65,8.76,0.07,53.64,52.5,Caution
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,50.59,11.28,31.63,-6.15,52.28,50.7,Caution
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,34.51,11.88,7.52,1.85,21.8,-32.3,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,20.83,12.38,22.57,0.01,44.31,-38.0,Discount
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,0.91,53.7,100.6,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,8.99,3.7,28.79,-0.97,56.0,-73.2,Discount
INFY,Infosys Ltd,Information Technology,35.99,8.97,36.7,1.81,34.31,-43.4,Discount
IOC,Indian Oil Corporation,Energy,28.61,4.24,33.71,2.79,49.11,-36.3,Discount
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,60.44,5.74,32.47,0.05,45.58,59.0,Caution
IRFC,Indian Railway Finance Corporation Ltd,Financials,9.81,3.91,16.66,0.3,36.52,-70.8,Discount
JSWENERGY,JSW Energy Ltd,Energy,24.79,9.88,35.95,-1.77,37.54,-44.8,Discount
LT,Larsen & Toubro Ltd,Industrials,30.8,2.48,16.63,1.82,24.09,-34.7,Discount
M&M,Mahindra & Mahindra Ltd,Consumer Discretionary,14.22,0.81,29.08,-0.27,43.58,-62.6,Discount
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,20.78,8.26,29.97,0.33,28.56,-45.3,Discount
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,9.54,2.38,33.39,0.63,31.5,-74.9,Discount
NAUKRI,Info Edge (India) Ltd,Communication Services,32.88,8.33,11.87,-0.03,34.89,-32.0,Discount
NHPC,NHPC Ltd,Energy,71.17,13.74,18.26,0.06,59.83,58.5,Caution
NTPC,NTPC Ltd,Energy,30.8,5.24,37.12,0.95,44.12,-31.4,Discount
ONGC,Oil & Natural Gas Corpn Ltd,Energy,18.15,10.36,11.72,10.78,44.31,-59.6,Discount
PIDILITIND,Pidilite Industries Ltd,Materials,36.12,12.3,5.36,0.59,37.11,-35.1,Discount
PNB,Punjab National Bank,Financials,19.29,10.91,23.64,-1.61,20.58,-42.5,Discount
SBILIFE,SBI Life Insurance Company Ltd,Financials,69.98,9.48,31.04,-0.24,54.02,108.5,Caution
SHREECEM,Shree Cement Ltd,Materials,25.87,1.21,26.58,0.06,33.97,-53.5,Discount
SHRIRAMFIN,Shriram Finance Ltd,Financials,68.53,7.91,28.82,-3.61,47.26,104.1,Caution
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,67.07,0.93,15.35,3.0,31.72,76.5,Caution
TATAPOWER,Tata Power Company Ltd,Energy,14.5,3.48,12.02,0.22,23.51,-67.7,Discount
TITAN,Titan Company Ltd,Consumer Discretionary,10.13,10.51,21.0,0.08,27.58,-73.3,Discount
TRENT,Trent Ltd,Consumer Discretionary,8.65,11.82,34.65,0.15,67.02,-77.2,Discount
