table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-07-21T14:33:40,0.007
profitandloss,1276,1070,206,2026-07-21T14:33:40,0.014
balancesheet,1312,1058,254,2026-07-21T14:33:40,0.013
cashflow,1187,1056,131,2026-07-21T14:33:40,0.031
analysis,20,16,4,2026-07-21T14:33:40,0.005
documents,1585,1457,128,2026-07-21T14:33:40,0.008
prosandcons,16,14,2,2026-07-21T14:33:40,0.006
sectors,92,92,0,2026-07-21T14:33:40,0.007
stock_prices,5520,5520,0,2026-07-21T14:33:40,0.036
financial_ratios,1184,1041,143,2026-07-21T14:33:40,0.015
peer_groups,56,56,0,2026-07-21T14:33:40,0.003
